,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
2768,uk,2016,man-in-the-middle,it,13.21,549414.0,social engineering,encryption,37.0,25.16
2769,australia,2015,ddos,it,11.89,731839.0,zero day,ai based detection,37.0,40.66
2770,brazil,2023,sql injection,healthcare,76.58,626352.0,zero day,encryption,33.0,40.09
2771,india,2022,ddos,banking,92.23,502006.5,unpatched software,antivirus,1.0,17.82
2772,australia,2019,ddos,telecommunications,70.7,502006.5,social engineering,vpn,37.0,41.88
2773,france,2021,ransomware,government,2.39,665023.0,unpatched software,firewall,49.0,55.2
2774,germany,2020,man-in-the-middle,banking,89.87,502006.5,zero day,antivirus,19.0,55.2
2775,uk,2023,man-in-the-middle,it,24.28,998547.0,weak passwords,antivirus,46.0,35.61
2776,australia,2019,ddos,it,58.3,502006.5,weak passwords,antivirus,58.0,55.2
2777,germany,2024,phishing,it,84.19,502006.5,social engineering,antivirus,26.0,38.01
2778,russia,2020,man-in-the-middle,education,72.02,191361.0,unpatched software,ai based detection,11.0,49.77
2779,germany,2023,man-in-the-middle,government,0.61,200862.0,social engineering,encryption,13.0,112.07
2780,usa,2017,phishing,it,89.49,4966.0,social engineering,ai based detection,41.0,202.71
2781,japan,2020,phishing,education,34.06,502006.5,weak passwords,antivirus,19.0,20.6
2782,usa,2020,phishing,government,37.66,449424.0,unpatched software,firewall,3.0,8.98
2783,germany,2020,phishing,healthcare,69.2,502006.5,unpatched software,encryption,4.0,11.44
2784,india,2024,phishing,banking,47.1,21292.0,social engineering,antivirus,10.0,26.29
2785,australia,2023,phishing,banking,51.41,502006.5,zero day,ai based detection,56.0,32.2
2786,australia,2020,ddos,banking,16.58,502006.5,zero day,vpn,7.0,17.2
2787,uk,2017,phishing,banking,61.33,762300.0,social engineering,vpn,20.0,7.81
2788,uk,2018,phishing,government,14.1,502006.5,zero day,ai based detection,43.0,27.54
2789,uk,2019,phishing,banking,33.88,761910.0,zero day,antivirus,27.0,71.67
2790,france,2023,ransomware,it,87.45,296050.0,weak passwords,vpn,30.0,133.29
2791,uk,2020,malware,it,51.41,502006.5,social engineering,encryption,67.0,23.66
2792,uk,2022,sql injection,banking,34.03,700439.0,zero day,encryption,41.0,29.39
2793,russia,2022,phishing,retail,6.61,351048.0,unpatched software,vpn,57.0,13.6
2794,china,2020,phishing,retail,17.99,36963.0,zero day,vpn,54.0,52.08
2795,france,2020,ransomware,it,99.77,533151.0,zero day,antivirus,43.0,15.29
2796,germany,2018,man-in-the-middle,healthcare,61.93,62185.0,social engineering,encryption,37.0,128.98
2797,usa,2016,ddos,education,48.83,231299.0,unpatched software,antivirus,58.0,55.2
2798,uk,2017,sql injection,retail,47.99,502006.5,weak passwords,firewall,52.0,31.83
2799,japan,2024,ransomware,it,47.44,696953.0,zero day,firewall,54.0,85.77
2800,russia,2015,malware,education,24.47,977607.0,zero day,ai based detection,62.0,71.93
2801,australia,2020,ransomware,it,71.03,91228.0,zero day,antivirus,22.0,3101.22
2802,china,2016,phishing,government,59.95,417253.0,weak passwords,vpn,16.0,92.27
2803,france,2021,man-in-the-middle,government,44.03,60431.0,zero day,antivirus,59.0,12.11
2804,japan,2016,phishing,healthcare,44.69,567209.0,social engineering,antivirus,1.0,47.31
2805,france,2015,phishing,it,70.18,502006.5,zero day,antivirus,15.0,3.8
2806,japan,2024,malware,telecommunications,49.88,437357.0,weak passwords,ai based detection,56.0,48.38
2807,australia,2016,phishing,it,51.41,502006.5,zero day,encryption,72.0,55.2
2808,uk,2020,phishing,it,57.17,477292.0,zero day,ai based detection,18.0,55.2
2809,germany,2020,phishing,education,16.76,163839.0,social engineering,encryption,19.0,55.2
2810,uk,2024,sql injection,it,65.06,922676.0,zero day,antivirus,37.0,45.83
2811,uk,2023,malware,education,51.41,941720.0,zero day,antivirus,71.0,21.05
2812,germany,2019,phishing,government,51.41,502006.5,social engineering,antivirus,53.0,741.2
2813,uk,2016,ransomware,it,27.17,429456.0,social engineering,vpn,28.0,33.72
2814,india,2020,phishing,government,85.73,340643.0,zero day,firewall,72.0,853.06
2815,uk,2021,malware,education,55.66,21833.0,zero day,encryption,2.0,55.2
2816,uk,2020,phishing,education,3.6,598297.0,social engineering,vpn,49.0,112.52
2817,australia,2020,phishing,retail,78.28,502006.5,zero day,antivirus,53.0,94.93
2818,germany,2020,sql injection,retail,70.09,98500.0,unpatched software,antivirus,30.0,98.56
2819,japan,2020,phishing,it,51.41,502006.5,weak passwords,encryption,70.0,55.2
2820,uk,2024,phishing,it,51.41,170892.0,zero day,ai based detection,47.0,35.93
2821,brazil,2020,ransomware,healthcare,60.13,887531.0,zero day,encryption,37.0,193.98
2822,uk,2024,ddos,it,57.81,179507.0,weak passwords,vpn,8.0,50.74
2823,russia,2023,phishing,it,78.71,315219.0,social engineering,antivirus,30.0,6.63
2824,usa,2016,phishing,government,51.41,223827.0,zero day,antivirus,21.0,50.47
2825,france,2016,phishing,healthcare,47.01,254371.0,zero day,antivirus,13.0,703.56
2826,japan,2023,ddos,government,67.59,502006.5,unpatched software,vpn,62.0,354.37
2827,china,2017,ddos,it,17.49,394109.0,unpatched software,ai based detection,37.0,55.2
2828,france,2019,ddos,it,75.84,877224.0,unpatched software,encryption,57.0,227.51
2829,japan,2020,phishing,telecommunications,91.52,846884.0,social engineering,ai based detection,42.0,55.2
2830,uk,2020,malware,it,44.05,100972.0,unpatched software,antivirus,54.0,4.24
2831,uk,2017,ddos,education,40.18,148447.0,zero day,ai based detection,37.0,13.64
2832,uk,2017,sql injection,it,44.56,698908.0,zero day,antivirus,32.0,55.2
2833,india,2022,sql injection,government,53.89,633626.0,social engineering,antivirus,37.0,36.2
2834,germany,2020,malware,government,88.01,334748.0,zero day,antivirus,5.0,37.9
2835,china,2023,phishing,banking,55.94,383589.0,weak passwords,firewall,37.0,34.82
2836,germany,2018,ransomware,education,51.41,901880.0,social engineering,vpn,16.0,55.2
2837,russia,2018,sql injection,education,40.59,598151.0,zero day,ai based detection,34.0,625.74
2838,uk,2016,phishing,banking,77.29,120341.0,zero day,antivirus,45.0,1522.59
2839,australia,2023,phishing,it,91.02,305005.0,zero day,firewall,37.0,55.2
2840,uk,2024,man-in-the-middle,retail,46.41,494622.0,social engineering,antivirus,37.0,85.07
2841,uk,2021,sql injection,banking,69.07,264662.0,social engineering,ai based detection,46.0,55.2
2842,india,2021,sql injection,healthcare,51.41,942089.0,unpatched software,vpn,39.0,500.4
2843,uk,2016,man-in-the-middle,education,33.45,502006.5,zero day,antivirus,6.0,9.47
2844,uk,2015,phishing,it,51.41,502006.5,unpatched software,antivirus,72.0,55.2
2845,russia,2019,malware,banking,51.41,502006.5,weak passwords,firewall,37.0,10.53
2846,brazil,2023,ransomware,healthcare,30.45,480773.0,weak passwords,antivirus,52.0,22.57
2847,uk,2023,malware,it,22.24,946994.0,zero day,vpn,13.0,15.55
2848,japan,2015,malware,retail,9.75,502006.5,social engineering,vpn,37.0,21.94
2849,brazil,2017,man-in-the-middle,it,67.55,502006.5,social engineering,vpn,37.0,24.32
2850,china,2019,sql injection,it,26.97,19575.0,zero day,ai based detection,1.0,55.2
2851,china,2015,malware,it,73.45,502006.5,social engineering,antivirus,36.0,190.57
2852,china,2020,ransomware,retail,40.01,998728.0,weak passwords,ai based detection,68.0,10.41
2853,france,2021,sql injection,it,52.67,434504.0,social engineering,ai based detection,46.0,55.2
2854,australia,2021,ransomware,retail,61.46,860546.0,zero day,ai based detection,37.0,339.32
2855,brazil,2020,phishing,education,51.41,502006.5,unpatched software,antivirus,68.0,25.28
2856,japan,2018,ddos,it,2.65,502006.5,zero day,vpn,28.0,18.6
2857,russia,2022,phishing,government,33.8,613718.0,unpatched software,ai based detection,60.0,38.64
2858,australia,2020,phishing,it,61.47,239301.0,zero day,antivirus,37.0,55.2
2859,uk,2017,phishing,education,16.82,848597.0,weak passwords,ai based detection,11.0,73.05
2860,japan,2020,man-in-the-middle,banking,73.85,278424.0,zero day,encryption,9.0,24.61
2861,uk,2015,ddos,government,97.4,23096.0,zero day,firewall,38.0,112.82
2862,russia,2022,phishing,it,33.49,68371.0,unpatched software,firewall,57.0,10.45
2863,uk,2023,ransomware,healthcare,62.21,534686.0,unpatched software,antivirus,37.0,151.72
2864,china,2019,man-in-the-middle,education,75.86,985505.0,social engineering,antivirus,37.0,100.78
2865,usa,2015,ddos,banking,98.39,306320.0,unpatched software,antivirus,37.0,34.41
2866,japan,2023,ddos,government,51.41,799380.0,weak passwords,ai based detection,57.0,15.52
2867,uk,2020,phishing,it,55.14,529551.0,zero day,vpn,61.0,14.44
2868,australia,2024,ddos,it,51.41,102295.0,weak passwords,vpn,46.0,121.78
2869,australia,2020,phishing,it,64.07,800131.0,zero day,ai based detection,69.0,344.97
2870,uk,2020,ransomware,it,32.0,502006.5,weak passwords,antivirus,37.0,20.99
2871,russia,2018,phishing,telecommunications,51.41,502006.5,weak passwords,firewall,64.0,108.59
2872,india,2018,sql injection,education,12.44,599905.0,social engineering,vpn,13.0,55.2
2873,france,2017,ddos,healthcare,5.07,65117.0,social engineering,firewall,37.0,22.72
2874,usa,2023,phishing,telecommunications,6.18,502006.5,weak passwords,encryption,55.0,52.11
2875,uk,2023,phishing,retail,55.7,53447.0,unpatched software,ai based detection,43.0,13.95
2876,germany,2024,phishing,it,47.13,471379.0,unpatched software,ai based detection,67.0,13.4
2877,russia,2017,sql injection,banking,76.84,883919.0,zero day,vpn,8.0,55.2
2878,germany,2021,malware,it,78.46,606940.0,social engineering,ai based detection,32.0,84.63
2879,india,2018,phishing,healthcare,56.88,502006.5,unpatched software,encryption,62.0,41.22
2880,russia,2019,phishing,banking,58.38,502006.5,zero day,ai based detection,37.0,1.9
2881,china,2022,ransomware,it,51.41,712697.0,unpatched software,antivirus,39.0,55.2
2882,uk,2023,man-in-the-middle,government,48.19,450891.0,social engineering,encryption,32.0,55.2
2883,uk,2016,phishing,healthcare,13.91,600700.0,zero day,firewall,28.0,108.48
2884,brazil,2019,ddos,education,44.51,119319.0,zero day,antivirus,37.0,0.89
2885,uk,2020,ransomware,healthcare,55.45,490818.0,unpatched software,vpn,65.0,25.8
2886,germany,2024,phishing,it,17.92,502006.5,zero day,vpn,15.0,24.79
2887,france,2017,malware,it,41.37,783899.0,social engineering,ai based detection,29.0,55.2
2888,china,2020,malware,healthcare,51.41,275619.0,weak passwords,antivirus,4.0,30.64
2889,india,2024,sql injection,it,8.85,746862.0,unpatched software,encryption,51.0,96.98
2890,uk,2024,sql injection,government,28.13,244429.0,zero day,ai based detection,8.0,67.48
2891,russia,2016,sql injection,government,52.59,287446.0,unpatched software,encryption,56.0,2.23
2892,france,2023,ddos,retail,79.86,966469.0,social engineering,antivirus,43.0,172.83
2893,australia,2021,ddos,it,47.83,126709.0,weak passwords,antivirus,45.0,75.42
2894,brazil,2020,malware,it,51.41,502006.5,unpatched software,antivirus,47.0,117.03
2895,uk,2023,sql injection,it,78.57,805183.0,weak passwords,vpn,37.0,10000.0
2896,australia,2021,malware,telecommunications,77.63,434446.0,social engineering,encryption,28.0,2.4
2897,france,2019,ransomware,education,2.27,63872.0,zero day,antivirus,55.0,725.63
2898,france,2022,ransomware,education,59.0,131307.0,weak passwords,ai based detection,46.0,35.48
2899,australia,2020,ddos,telecommunications,51.41,732072.0,social engineering,firewall,35.0,84.01
2900,india,2016,ransomware,it,43.65,502006.5,zero day,antivirus,37.0,55.2
2901,uk,2021,phishing,retail,51.41,617987.0,social engineering,antivirus,37.0,28.89
2902,india,2024,malware,government,56.13,629293.0,zero day,vpn,37.0,55.2
2903,uk,2019,sql injection,healthcare,92.69,979308.0,social engineering,antivirus,37.0,89.5
2904,france,2024,phishing,healthcare,14.38,278126.0,social engineering,antivirus,37.0,5.61
2905,uk,2016,man-in-the-middle,banking,51.41,502006.5,unpatched software,antivirus,8.0,168.32
2906,brazil,2019,phishing,retail,35.61,43771.0,zero day,encryption,49.0,29.24
2907,china,2015,sql injection,education,40.68,90689.0,zero day,antivirus,40.0,10.02
2908,france,2024,sql injection,healthcare,51.41,931787.0,unpatched software,firewall,15.0,55.2
2909,uk,2017,phishing,education,98.61,502006.5,unpatched software,vpn,37.0,359.86
2910,usa,2021,ransomware,it,72.24,283947.0,unpatched software,antivirus,72.0,24.46
2911,india,2018,malware,banking,20.76,502006.5,social engineering,encryption,37.0,93.47
2912,australia,2016,ddos,it,93.39,630087.0,social engineering,vpn,37.0,18.24
2913,uk,2019,phishing,telecommunications,52.17,481252.0,zero day,antivirus,37.0,170.18
2914,france,2021,ransomware,it,51.41,935319.0,social engineering,antivirus,25.0,55.2
2915,russia,2018,malware,it,51.41,159475.0,zero day,encryption,19.0,873.85
2916,japan,2017,ddos,healthcare,90.38,316136.0,zero day,vpn,22.0,41.96
2917,germany,2019,ddos,it,71.08,445129.0,unpatched software,antivirus,19.0,148.86
2918,brazil,2020,ddos,healthcare,53.42,545588.0,unpatched software,antivirus,54.0,63.25
2919,uk,2020,sql injection,it,51.41,3315.0,unpatched software,antivirus,41.0,381.38
2920,germany,2020,phishing,it,51.41,919427.0,weak passwords,ai based detection,51.0,18.57
2921,australia,2015,phishing,banking,99.2,666877.0,weak passwords,antivirus,28.0,55.2
2922,japan,2017,ransomware,it,49.72,578125.0,social engineering,firewall,71.0,40.77
2923,russia,2015,phishing,government,51.41,616547.0,zero day,antivirus,22.0,55.2
2924,germany,2016,ddos,government,26.97,976849.0,weak passwords,vpn,12.0,55.2
2925,russia,2024,phishing,government,60.69,931196.0,social engineering,ai based detection,37.0,79.71
2926,china,2020,phishing,banking,38.69,240400.0,weak passwords,antivirus,10.0,45.86
2927,uk,2022,ddos,it,74.59,502006.5,social engineering,encryption,18.0,55.2
2928,uk,2015,phishing,retail,94.19,145401.0,unpatched software,antivirus,14.0,55.2
2929,uk,2018,sql injection,retail,85.18,918201.0,zero day,antivirus,35.0,239.41
2930,russia,2017,malware,healthcare,42.4,71213.0,social engineering,firewall,58.0,201.09
2931,usa,2020,ransomware,banking,34.58,502006.5,zero day,vpn,37.0,27.57
2932,russia,2023,phishing,it,48.84,680011.0,zero day,encryption,66.0,14.38
2933,uk,2016,sql injection,healthcare,63.93,165204.0,social engineering,encryption,18.0,228.82
2934,germany,2020,sql injection,education,55.5,693497.0,unpatched software,antivirus,56.0,203.18
2935,australia,2022,malware,telecommunications,32.6,363166.0,unpatched software,antivirus,38.0,497.21
2936,russia,2017,phishing,it,51.41,502006.5,zero day,antivirus,68.0,22.07
2937,russia,2020,ransomware,it,51.41,809153.0,social engineering,ai based detection,37.0,38.69
2938,brazil,2016,ransomware,education,5.51,740421.0,zero day,encryption,59.0,55.2
2939,usa,2024,malware,retail,52.2,502006.5,zero day,firewall,57.0,55.2
2940,uk,2017,malware,it,68.12,627616.0,zero day,firewall,37.0,243.44
2941,france,2017,sql injection,it,36.09,696801.0,zero day,vpn,32.0,55.2
2942,russia,2020,ddos,healthcare,68.1,819663.0,zero day,encryption,5.0,142.7
2943,russia,2020,sql injection,it,10.46,778573.0,zero day,antivirus,62.0,41.03
2944,brazil,2020,malware,telecommunications,51.41,850214.0,social engineering,antivirus,45.0,55.2
2945,china,2020,sql injection,government,1.89,83376.0,unpatched software,firewall,62.0,9.76
2946,russia,2020,ransomware,it,48.68,459635.0,zero day,antivirus,49.0,55.2
2947,india,2021,ransomware,government,9.54,386911.0,social engineering,antivirus,33.0,0.61
2948,china,2021,phishing,telecommunications,76.26,756305.0,weak passwords,vpn,45.0,41.25
2949,china,2020,phishing,it,55.06,502006.5,unpatched software,antivirus,21.0,4.73
2950,japan,2022,malware,education,17.3,893060.0,social engineering,encryption,19.0,333.28
2951,uk,2020,malware,government,69.39,358933.0,zero day,antivirus,3.0,175.23
2952,india,2019,phishing,government,51.41,502006.5,zero day,firewall,16.0,55.2
2953,uk,2015,ransomware,it,74.03,597723.0,zero day,encryption,48.0,534.59
2954,china,2020,phishing,retail,11.72,502006.5,weak passwords,firewall,18.0,13.15
2955,japan,2020,ransomware,government,21.92,74407.0,zero day,antivirus,37.0,750.73
2956,russia,2016,malware,it,37.07,502006.5,weak passwords,antivirus,37.0,221.03
2957,russia,2022,phishing,banking,84.09,153829.0,weak passwords,vpn,6.0,55.2
2958,japan,2015,phishing,education,58.86,587851.0,social engineering,antivirus,6.0,299.89
2959,russia,2020,phishing,government,51.41,728308.0,zero day,firewall,10.0,10.39
2960,france,2020,malware,retail,51.41,471898.0,social engineering,antivirus,55.0,15.85
2961,russia,2019,sql injection,it,51.41,639630.0,zero day,encryption,31.0,21.91
2962,uk,2023,malware,retail,28.79,6691.0,zero day,vpn,57.0,24.69
2963,russia,2015,ransomware,retail,46.96,502006.5,social engineering,antivirus,2.0,11.19
2964,usa,2016,phishing,healthcare,98.03,719415.0,unpatched software,firewall,56.0,55.2
2965,germany,2020,malware,telecommunications,92.53,727509.0,zero day,ai based detection,67.0,37.03
2966,france,2021,phishing,banking,78.89,704427.0,zero day,vpn,30.0,92.64
2967,india,2020,sql injection,government,80.0,147384.0,zero day,firewall,54.0,55.2
2968,uk,2020,ransomware,banking,51.41,502006.5,social engineering,ai based detection,37.0,3.56
2969,russia,2020,sql injection,it,2.1,354694.0,weak passwords,encryption,18.0,81.87
2970,uk,2019,ddos,banking,14.98,849664.0,social engineering,antivirus,40.0,3.1
2971,uk,2024,sql injection,government,9.91,248359.0,zero day,firewall,58.0,49.26
2972,india,2023,phishing,it,12.96,254903.0,social engineering,firewall,4.0,7.01
2973,brazil,2016,man-in-the-middle,it,19.59,647998.0,weak passwords,ai based detection,38.0,1075.9
2974,india,2022,phishing,it,37.76,800909.0,zero day,antivirus,53.0,214.23
2975,uk,2015,man-in-the-middle,telecommunications,95.8,23469.0,zero day,firewall,64.0,63.98
2976,uk,2017,phishing,healthcare,51.41,388325.0,social engineering,ai based detection,39.0,363.42
2977,russia,2018,ddos,retail,64.39,359124.0,unpatched software,ai based detection,13.0,15.34
2978,india,2023,malware,healthcare,70.36,992014.0,social engineering,encryption,62.0,123.37
